Date,Clicks,Impressions,CTR,Position
2025-12-01,1,169,0.59%,29.7
2025-12-02,0,153,0%,37.6
2025-12-03,0,107,0%,25.6
2025-12-04,1,162,0.62%,32.8
2025-12-05,0,148,0%,36.2
2025-12-06,0,88,0%,43.2
2025-12-07,0,135,0%,23.1
2025-12-08,1,260,0.38%,40.5
2025-12-09,1,151,0.66%,41.6
2025-12-10,0,141,0%,35.5
2025-12-11,0,110,0%,24.1
2025-12-12,3,137,2.19%,25.8
2025-12-13,1,80,1.25%,19.7
2025-12-14,0,137,0%,25
2025-12-15,0,168,0%,24.3
2025-12-16,3,244,1.23%,30.9
2025-12-17,4,166,2.41%,24.9
2025-12-18,0,428,0%,31
2025-12-19,0,116,0%,30.2
2025-12-20,1,90,1.11%,24.8
2025-12-21,0,107,0%,43.5
2025-12-22,0,132,0%,18.6
2025-12-23,1,258,0.39%,42.4
2025-12-24,2,110,1.82%,22.8
2025-12-25,0,110,0%,19.5
2025-12-26,0,116,0%,25.9
2025-12-27,0,99,0%,13.7
2025-12-28,3,170,1.76%,11
2025-12-29,0,179,0%,17.2
2025-12-30,4,210,1.9%,32.3
2025-12-31,2,203,0.99%,19.2
