Country,Clicks,Impressions,CTR,Position
United Arab Emirates,16,3330,0.48%,33.74
India,2,80,2.5%,36.39
France,2,22,9.09%,16.18
Germany,1,25,4%,8
Netherlands,1,19,5.26%,7.37
Canada,1,17,5.88%,4.82
Syria,1,15,6.67%,8.8
Russia,1,8,12.5%,12.25
Peru,1,4,25%,1
Norway,1,2,50%,1
Luxembourg,1,1,100%,1
United States,0,709,0%,17.85
Egypt,0,137,0%,28.21
United Kingdom,0,100,0%,30.84
Pakistan,0,47,0%,20.21
Saudi Arabia,0,27,0%,11.59
Brazil,0,26,0%,6
Philippines,0,17,0%,10.06
Australia,0,15,0%,3.6
Tunisia,0,13,0%,7.46
Turkey,0,13,0%,7.92
Jordan,0,13,0%,10.62
Japan,0,11,0%,8.91
Spain,0,11,0%,15.82
Morocco,0,10,0%,5.9
Romania,0,10,0%,10.9
Italy,0,9,0%,17.33
Indonesia,0,8,0%,16.5
South Korea,0,7,0%,19.86
Bangladesh,0,7,0%,22
Belgium,0,7,0%,72.43
Poland,0,6,0%,4.83
Austria,0,6,0%,6.83
Lebanon,0,6,0%,7.5
Iraq,0,6,0%,17
Unknown Region,0,6,0%,72.83
Singapore,0,5,0%,6.2
Algeria,0,5,0%,10
Yemen,0,5,0%,11.8
Israel,0,5,0%,16.2
Vietnam,0,5,0%,18.2
Colombia,0,5,0%,34
Portugal,0,4,0%,4
Sweden,0,4,0%,9.25
New Zealand,0,3,0%,3.33
South Africa,0,3,0%,4
Denmark,0,3,0%,6
Hungary,0,3,0%,6.67
Oman,0,3,0%,7.67
Bulgaria,0,3,0%,8.67
Switzerland,0,3,0%,9
Sudan,0,3,0%,9
Trinidad & Tobago,0,3,0%,13.33
Qatar,0,3,0%,24
Kazakhstan,0,3,0%,32.67
Ireland,0,3,0%,38
Costa Rica,0,2,0%,1
Finland,0,2,0%,1.5
Hong Kong,0,2,0%,4
Czechia,0,2,0%,4.5
Puerto Rico,0,2,0%,7.5
Chile,0,2,0%,8.5
Malaysia,0,2,0%,8.5
Ethiopia,0,2,0%,11
Thailand,0,2,0%,20
Cambodia,0,2,0%,24.5
Antigua & Barbuda,0,1,0%,1
Dominica,0,1,0%,1
Ghana,0,1,0%,1
Greece,0,1,0%,1
Myanmar (Burma),0,1,0%,1
Nepal,0,1,0%,1
Belarus,0,1,0%,2
China,0,1,0%,2
Rwanda,0,1,0%,2
Slovenia,0,1,0%,2
Madagascar,0,1,0%,5
Uzbekistan,0,1,0%,5
Venezuela,0,1,0%,5
Georgia,0,1,0%,6
Sri Lanka,0,1,0%,6
Mauritania,0,1,0%,6
Ecuador,0,1,0%,7
Croatia,0,1,0%,8
Kuwait,0,1,0%,8
Moldova,0,1,0%,8
Nicaragua,0,1,0%,8
Tajikistan,0,1,0%,8
Argentina,0,1,0%,9
Bahrain,0,1,0%,9
Libya,0,1,0%,9
Macau,0,1,0%,9
Azerbaijan,0,1,0%,10
Bolivia,0,1,0%,10
Lithuania,0,1,0%,10
El Salvador,0,1,0%,10
Nigeria,0,1,0%,11
Serbia,0,1,0%,11
Estonia,0,1,0%,12
Iran,0,1,0%,12
Latvia,0,1,0%,12
Taiwan,0,1,0%,12
Uganda,0,1,0%,14
Malta,0,1,0%,18
Palestine,0,1,0%,22
Gabon,0,1,0%,46
