page_url,clicks,impressions,ctr,position,change_percent,extracted_date
"https://onlinetranslation.ae/",48,8861,0.5,52.2,20.8,2026-01-14
"https://onlinetranslation.ae/contact-a-translator-in-dubai/",9,612,1.5,44.3,77.8,2026-01-14
"https://onlinetranslation.ae/services/",5,628,0.8,51.9,40.0,2026-01-14
"https://onlinetranslation.ae/urgent-translation-services/",4,559,0.7,48.1,50.0,2026-01-14
"https://onlinetranslation.ae/onehourx-solutions-uae-translation/onehourx-multimedia-translation/",3,1189,0.3,58.2,100.0,2026-01-14
"https://onlinetranslation.ae/onehourx-stamped-arabic-english-translation-services-uae/",3,1188,0.3,59.8,100.0,2026-01-14
"https://onlinetranslation.ae/services/attestation/apostille/",3,181,1.7,45.6,100.0,2026-01-14
"https://onlinetranslation.ae/medical-translation-dubai/",1,103,1.0,42.5,100.0,2026-01-14
"https://onlinetranslation.ae/personal/",1,14,7.1,18.0,100.0,2026-01-14
"https://onlinetranslation.ae/personal/academic/degree/",1,74,1.4,35.0,100.0,2026-01-14
